# Logfile created on 2026-09-04 10:44:42 +0200 by logger.rb/v1.5.3
2026-09-04 10:44:42 +0200: Memory Usage (455928K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/AION_inv_nand2_nor2_1.gds
2026-09-04 10:44:42 +0200: Memory Usage (455928K) : Ruby Version for klayout: 3.2.3
2026-09-04 10:44:42 +0200: Memory Usage (456856K) : Loading database to memory is complete.
2026-09-04 10:44:42 +0200: Memory Usage (456856K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/drc/AION_inv_nand2_nor2_1.klayout.drc/AION_inv_nand2_nor2_1_AION_inv_nand2_nor2_1_schottkydiode.lyrdb
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : Evaluate switches.
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : tables selected: schottkydiode
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : deep mode is enabled.
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : FEOL enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : BEOL enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : OFFGRID enabled: true
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : ANGLE enabled: true
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : PIN enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : FORBIDDEN enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : RECOMMENDED enabled: true
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : PreCheck DRC enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : CONNECTIVITY_RULES enabled: false.
2026-09-04 10:44:42 +0200: Memory Usage (457048K) : Read in polygons from layers.
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_drw has 4 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_pin has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_mask has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_filler has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_nofill has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_opc has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_iopc has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : activ_noqrc has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457844K) : biwind_drw has 0 polygons
