# Logfile created on 2026-09-04 10:44:42 +0200 by logger.rb/v1.5.3
2026-09-04 10:44:42 +0200: Memory Usage (455520K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/AION_inv_nand2_nor2_1.gds
2026-09-04 10:44:42 +0200: Memory Usage (455520K) : Ruby Version for klayout: 3.2.3
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : Loading database to memory is complete.
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/drc/AION_inv_nand2_nor2_1.klayout.drc/AION_inv_nand2_nor2_1_AION_inv_nand2_nor2_1_metal1.lyrdb
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : Evaluate switches.
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : tables selected: metal1
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : deep mode is enabled.
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : FEOL enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : BEOL enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : OFFGRID enabled: true
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : ANGLE enabled: true
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : PIN enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : FORBIDDEN enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : RECOMMENDED enabled: true
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : PreCheck DRC enabled: false
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : CONNECTIVITY_RULES enabled: false.
2026-09-04 10:44:42 +0200: Memory Usage (456480K) : Read in polygons from layers.
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_drw has 4 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_pin has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_mask has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_filler has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_nofill has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_opc has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_iopc has 0 polygons
2026-09-04 10:44:42 +0200: Memory Usage (457632K) : activ_noqrc has 0 polygons
