# Logfile created on 2026-09-04 10:44:45 +0200 by logger.rb/v1.5.3
2026-09-04 10:44:45 +0200: Memory Usage (456652K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/AION_inv_nand2_nor2_1.gds
2026-09-04 10:44:45 +0200: Memory Usage (456652K) : Ruby Version for klayout: 3.2.3
2026-09-04 10:44:45 +0200: Memory Usage (457804K) : Loading database to memory is complete.
2026-09-04 10:44:45 +0200: Memory Usage (457804K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/drc/AION_inv_nand2_nor2_1.klayout.drc/AION_inv_nand2_nor2_1_AION_inv_nand2_nor2_1_mim.lyrdb
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : Evaluate switches.
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : tables selected: mim
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : deep mode is enabled.
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : FEOL enabled: false
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : BEOL enabled: false
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : OFFGRID enabled: true
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : ANGLE enabled: true
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : PIN enabled: false
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : FORBIDDEN enabled: false
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : RECOMMENDED enabled: true
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : PreCheck DRC enabled: false
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : CONNECTIVITY_RULES enabled: false.
2026-09-04 10:44:45 +0200: Memory Usage (457996K) : Read in polygons from layers.
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_drw has 4 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_pin has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_mask has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_filler has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_nofill has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_opc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_iopc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : activ_noqrc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : biwind_drw has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : biwind_opc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : pemwind_drw has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : gatpoly_drw has 8 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : gatpoly_pin has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : gatpoly_filler has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : gatpoly_nofill has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : gatpoly_opc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : gatpoly_iopc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : gatpoly_noqrc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (458892K) : cont_drw has 32 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459052K) : cont_opc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459052K) : nsd_drw has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459052K) : nsd_block has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459052K) : metal1_drw has 18 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459052K) : metal1_pin has 6 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459052K) : metal1_mask has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459052K) : metal1_filler has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459212K) : metal1_nofill has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459212K) : metal1_slit has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459404K) : metal1_text has 6 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459564K) : metal1_opc has 0 polygons
2026-09-04 10:44:45 +0200: Memory Usage (459564K) : metal1_noqrc has 0 polygons
