# Logfile created on 2026-09-04 10:44:44 +0200 by logger.rb/v1.5.3
2026-09-04 10:44:44 +0200: Memory Usage (457048K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/AION_inv_nand2_nor2_1.gds
2026-09-04 10:44:44 +0200: Memory Usage (457048K) : Ruby Version for klayout: 3.2.3
2026-09-04 10:44:44 +0200: Memory Usage (458036K) : Loading database to memory is complete.
2026-09-04 10:44:44 +0200: Memory Usage (458036K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/aion_flow/tools/aion_layout/std_cells_claude/drc/AION_inv_nand2_nor2_1.klayout.drc/AION_inv_nand2_nor2_1_AION_inv_nand2_nor2_1_topmetal2filler.lyrdb
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : Evaluate switches.
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : tables selected: topmetal2filler
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : KLayout will use 15 thread(s) in tiling mode.
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : deep mode is enabled.
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : FEOL enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : BEOL enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : OFFGRID enabled: true
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : ANGLE enabled: true
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : PIN enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : FORBIDDEN enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : RECOMMENDED enabled: true
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : PreCheck DRC enabled: false
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : CONNECTIVITY_RULES enabled: false.
2026-09-04 10:44:44 +0200: Memory Usage (458228K) : Read in polygons from layers.
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_drw has 4 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_mask has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_filler has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_nofill has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_iopc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : activ_noqrc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : biwind_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : biwind_opc has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : pemwind_drw has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : gatpoly_drw has 8 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : gatpoly_pin has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : gatpoly_filler has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : gatpoly_nofill has 0 polygons
2026-09-04 10:44:44 +0200: Memory Usage (459188K) : gatpoly_opc has 0 polygons
